Trial,HTST_Temp,Storage_Temp,Day,APCavg,Genus,species,AT,Taxon
1,75,3,28,2.039590623,Bacillus,licheniformis,3513,Bacillus.licheniformis.1
1,85,3,35,2.079181246,Bacillus,licheniformis,3513,Bacillus.licheniformis.1
1,90,3,35,2.861316961,Bacillus,licheniformis,3513,Bacillus.licheniformis.1
1,90,6.5,35,2.844920705,Bacillus,licheniformis,3513,Bacillus.licheniformis.1
1,75,3,35,2.167226876,Bacillus,licheniformis,3513,Bacillus.licheniformis.6
1,75,6.5,35,3.970043679,Paenibacillus,odorifer,15,Paenibacillus.odorifer.15
1,75,10,35,7.820709949,Paenibacillus,odorifer,15,Paenibacillus.odorifer.15
1,90,3,35,2.861316961,Paenibacillus,odorifer,15,Paenibacillus.odorifer.27
1,85,3,35,2.079181246,Bacillus,safensis,61,Bacillus.safensis.140
1,75,6.5,35,3.970043679,Bacillus,paralicheniformis,513,Bacillus.paralicheniformis.215
1,75,10,14,7.152933528,Paenibacillus,peoriae_cf,179,Paenibacillus.peoriae_cf.239
1,75,3,28,2.039590623,Bacillus,safensis,61,Bacillus.safensis.254
1,75,10,14,7.152933528,Bacillus,cereus_ss,61,Bacillus.cereus_ss.277
1,85,10,21,7.407908372,Bacillus,cereus_ss,61,Bacillus.cereus_ss.277
1,90,10,7,7.214811551,Bacillus,cereus_ss,61,Bacillus.cereus_ss.296
1,75,10,35,7.820709949,Lysinibacillus,sp.1,17,Lysinibacillus.sp.1.299
1,90,10,7,7.214811551,Lysinibacillus,sp.1,17,Lysinibacillus.sp.1.299
1,90,10,14,7.544018405,Lysinibacillus,sp.1,17,Lysinibacillus.sp.1.299
1,75,10,14,7.152933528,Lysinibacillus,sp.1,17,Lysinibacillus.sp.1.303
1,75,10,35,7.820709949,Bacillus,cereus_ss,61,Bacillus.cereus_ss.366
1,85,10,7,7.230418864,Bacillus,toyonensis,3,Bacillus.toyonensis.775
1,90,10,14,7.544018405,Paenibacillus,peoriae_cf,179,Paenibacillus.peoriae_cf.776
1,85,6.5,35,6.630512417,Paenibacillus,peoriae_cf,340,Paenibacillus.peoriae_cf.777
1,90,6.5,35,2.844920705,Paenibacillus,sp.1,45,Paenibacillus.sp.1.778
1,75,3,35,2.167226876,Bacillus,safensis,61,Bacillus.safensis.1927
2,75,10,13,6.811624645,Bacillus,licheniformis,3513,Bacillus.licheniformis.1
2,90,6.5,21,7.336085887,Paenibacillus,odorifer,15,Paenibacillus.odorifer.7
2,90,10,17,7.155664976,Paenibacillus,odorifer,15,Paenibacillus.odorifer.7
2,75,6.5,35,7.514529475,Paenibacillus,odorifer,15,Paenibacillus.odorifer.15
2,90,6.5,28,7.175936788,Paenibacillus,odorifer,15,Paenibacillus.odorifer.15
2,90,10,15,7.743537495,Paenibacillus,odorifer,15,Paenibacillus.odorifer.15
2,85,10,11,7.378302842,Paenibacillus,odorifer,15,Paenibacillus.odorifer.21
2,85,6.5,28,7.065562678,Paenibacillus,odorifer,15,Paenibacillus.odorifer.74
2,90,10,17,7.155664976,Bacillus,toyonensis,3,Bacillus.toyonensis.129
2,85,10,13,7.281384272,Bacillus,cereus_ss,61,Bacillus.cereus_ss.296
2,90,10,15,7.743537495,Lysinibacillus,sp.1,17,Lysinibacillus.sp.1.303
2,85,10,11,7.378302842,Bacillus,cereus_ss,61,Bacillus.cereus_ss.768
2,75,10,15,7.672052587,Paenibacillus,peoriae_cf,179,Paenibacillus.peoriae_cf.776
2,85,6.5,35,6.63935519,Paenibacillus,sp.1,45,Paenibacillus.sp.1.778
2,85,10,13,7.281384272,Paenibacillus,peoriae_cf,179,Paenibacillus.peoriae_cf.779
3,75,6.5,28,7.269412494,Paenibacillus,odorifer,15,Paenibacillus.odorifer.11
3,75,3,42,6.572947898,Paenibacillus,odorifer,15,Paenibacillus.odorifer.15
3,85,6.5,21,7.404442934,Paenibacillus,odorifer,15,Paenibacillus.odorifer.15
3,90,10,13,8.006862916,Paenibacillus,odorifer,15,Paenibacillus.odorifer.15
3,90,3,35,7.232095685,Paenibacillus,odorifer,15,Paenibacillus.odorifer.32
3,75,10,11,7.663287052,Paenibacillus,odorifer,15,Paenibacillus.odorifer.32
3,90,10,11,7.33325899,Paenibacillus,sp.1,45,Paenibacillus.sp.1.42
3,75,3,35,6.553604985,Paenibacillus,odorifer,15,Paenibacillus.odorifer.50
3,85,6.5,28,7.811671042,Paenibacillus,odorifer,15,Paenibacillus.odorifer.50
