Column,farm.x,sampling.x,test,rep_1,rep_2,total,sample,f,sampling.y,sd_meantempi,sd_meanwindspdi,sd_minhumidity,sd_maxhumidity,sd_humidity,sd_precipi,mean_meantempi,mean_meanwindspdi,mean_minhumidity,mean_maxhumidity,mean_humidity,mean_precipi,mean_precipi_yesno,farmnumber,farm.y,date,time,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,mean_hygiene,stall,cleanliness,ventilation,standing_water,month,sampling,A2_SURVEY_DATE,A3_ARRIVAL.DEPARTURE_TIME,A4_SURVEY_TECHNICIAN,A5_FARM_PERSONNEL_INTERVIEWED,A6_NUMBER_MILKING_COWS,A7_.AV_ANNUAL_PRODUCTION_COW,A8_OFTEN_EACH_COW_MILKED_PER_DAY,B2_AV_BODY_CONDITION,B3_TAILS_DOCKED,tails_docked_edited,B4_UDDERS_CLIPPED.FLAMED,udders_flamed_edited,B5_FEED_TYPE_LACTATING_COWS,C1_GLOVES_DURING_MILKING,C2_AUTO.TEAT_SCRUBBER,C3_PRE.DIP_TYPE,pre_dip_chemical,pre_dip_application,C4_POST.DIP_TYPE,post_dip_chemical,post_dip_application,C5_MASTITIC_COWS_MILKED_LAST.SEPARATELY,mastitic_milked_separately,C6_DO.YOU_STRIP_COWS,D1_HOUSING_TYPE,D3_BEDDING,D5_.FREESTALL.HOUSING._HOW_OFTEN_ALLEYS_SCRAPED.DAY,D6_WATER_SOURCES_USED_AND_WHERE,D7_OFTEN_DAY.WEEK_DRY_LOTS_RAKED,D8_OFTEN_DAY.WEEK_DRY_LOTS_DUG_OUT,D10_VISIBLE_DUST_IN_THE_LAST,D11_RAINED_IN_THE_LAST,E1_PARLOR_DECK_SPRAYED.CLEANED_BETWEEN_MILKING_GROUPS,E2_HOLDING_AREA_CLEANED_DURING_MILKING,holding_area_cleaned_during_milking_edited,E3_COWS_EXPOSED_TO_WATER_PRIOR_TO_MILKING,E4_UDDERS_SPRAYED_PRIOR_TO_MILKING,E5_WATER_USED_TO_COOL_COWS,E6_WATER_USED_TO_CLEAN_COWS,F1_BULK_TANK_CAPACITY,G1_TYPE_OF_TOWEL,type_of_towel_edited,G2_HOW_OFTEN_FILTER_SOCK_CHANGED,X
1,1,1,SP MSC,29,25,27,1-Jan,1,1,1.546459165,4.80058888,8.014692391,11.69212908,13.01900555,0.09652796,51.17222222,7.372222222,26,80.66666667,55.57142857,0.023333333,TRUE,1,Farm 01,3/19/2016,1:20pm,1,1,1,1,1,1,1,1,1,1,1,non-Free,not_applicable,not_applicable,not_applicable,3,1,3/19/2016,1:20/no answer,Bailee,Scott Optiz,96,66 lbs/day,2 times,Normal,N,no,N,no,burmuda grass silage; canola; distiller screens; beet pulp; hominy; wet brewers grains; mineral mix - blood mill,Y,N,Iodine; Dip application,Iodine,dip,Iodine; Dip application,Iodine,dip,N,N,No answer,Other: pasture,N/A,N/A,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"12,000 gallons; 2 bulk tanks",Laundered; No,Laundered,"Once a milking, every 5 hours",NA
2,2,1,SP MSC,3,4,3.5,1-Feb,2,1,1.271599106,4.930372342,4.131758533,7.611082146,2.217355783,0.14495689,51.1625,10.85,27.75,81.25,60.25,0.05125,TRUE,2,Farm 02,3/19/2016,4:00pm,1,1,2,2,1,2,1,1,3,1,1.5,Free,Good,Good,not_applicable,3,1,3/19/2016,4:00/no answer,Bailee,Auke Plantiga,800,77 lbs/day,2 times,Normal,N,no,N,no,corn silage; rye silage; alfalfa; corn; soy bean mill; corn gluten; hominy; cotten seed,Y,N,Iodine; Spray application,Iodine,spray,Iodine; Dip application,Iodine,dip,Y; Separately,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"12,000 gallons; 2 bulk tanks",Laundered; No,Laundered,"Once a milking, every 5 hours",NA
3,4,1,SP MSC,12,8,10,1-Apr,4,1,1.232570797,4.764357519,3.839738239,7.891085525,4.247875286,0.112734087,52.93846154,5.892307692,26.92307692,89.46153846,60.6,0.036153846,TRUE,4,Farm 04,3/19/2016,3:00pm,1,1,2,1,2,3,3,3,2,1,1.9,Free,Good,Good,not_applicable,3,1,3/19/2016,3:00/no answer,Bailee,Nico DeBoer,1550,no answer,2 times,Normal,I; Clipswitch,intermediate,Y; Flamed,yes,alfalfa; corn silage; corn; DDG; flaxseed; soy bean mill,Y,N,Iodine; Other: Foam application,Iodine,foam,2-Bromo 2-Nitropropane; Other: Foam application,2-Bromo 2-Nitropropane,foam,Y; Last,Y,No answer,Freestall,Sand,2 times/day or more often,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,"20,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every group, every 2-3 hours",NA
4,6,1,SP MSC,6,4,5,1-Jun,6,1,1.399210304,5.649673954,3.431663706,3.971941061,3.336040567,0.008944272,49.99,8.525,31.25,80.75,54.9375,0.002,TRUE,6,Farm 06,3/19/2016,9:45am,2,4,4,2,3,2,2,3,2,3,2.7,Free,Good,Good,not_applicable,3,1,3/19/2016,9:45/no answer,Bailee,Heath Hogan,251,82 lbs/day,2 times,Normal,N,no,N,no,green chop; corn silage; alfalfa; coastal; wet cotton seed; hull; corn; hominy; brewer's grain; canola; mineral package; ammoniated gas hay,I,N,Peroxide; Dip application,Peroxide,dip,Iodine; Dip application,Iodine,dip,Y; Last,Y,No answer,Freestall,Sand,1 time/day; Flushed 3 times,Well water,N/A,N/A,0-24h,N/A,I; Between 3 daily milkings; Manually,N,N,N,N,N,N,6000 gallons; 2 bulk tanks,Laundered; Yes,Laundered,"Once a milking, every 4 hours",NA
5,7,1,SP MSC,6,20,13,1-Jul,7,1,1.399210304,5.649673954,3.431663706,3.971941061,3.336040567,0.008944272,49.99,8.525,31.25,80.75,54.9375,0.002,TRUE,7,Farm 07,3/19/2016,9:00am,2,1,3,2,1,4,3,4,3,2,2.5,Free,Good,Good,not_applicable,3,1,3/19/2016,9:00/no answer,Bailee,Ronnie West,380,57 lbs/day,2 times,Normal,N,no,N,no,soy bean mill; cotton seed hull; corn; corn silage; wheat silage; brewers grain; mineral concentrate,I,N,Iodine; Spray application,Iodine,spray,Iodine; Spray application,Iodine,spray,N; get rid of them,N,No answer,Freestall,Sand,1 time/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually,N,N,N,N,N,N,2750 lbs; 1 bulk tank,Paper; No,Paper,Every 6 hours,NA
6,8,1,SP MSC,51,51,51,1-Aug,8,1,7.528479262,3.563705936,2.828427125,20.63249864,NA,0,53.66,5.2,17,54.2,26,0,FALSE,8,Farm 08,3/16/2016,7:20am,4,3,2,4,2,3,3,4,2,2,2.9,non-Free,not_applicable,not_applicable,No,3,1,3/16/2016,7:20 am/9:00 am,Bailee,Richard,3900,"27,010; 74 lbs/day",intermediate,Normal,I; 1/2 switch,intermediate,I; Once year,intermediate,corn silage; alfalfa; sorghum or wheat silage; DDG; corn gluten; hominy; corn; canola; soy bean mill (bypass); blood mill; mineral pack; alfalfa hay,Y,N,Propalinglycom quadarin amonia; Spray application,Propalinglycom quadarin amonia,spray,None,None,none,N,N,Y,Dry Lot (open lot),Other: Dried manure,N/A,Well water,6,4.5,0-24h,25-48h,Y; Manually,Y,Y,N,N,N,N,"100,000 lbs; 2 bulk tanks",Laundered; Yes,Laundered,Every 300 cows,NA
7,9,1,SP MSC,9,8,8.5,1-Sep,9,1,7.528479262,3.563705936,2.828427125,20.63249864,NA,0,53.66,5.2,17,54.2,26,0,FALSE,9,Farm 09,3/16/2016,9:15am,3,2,1,2,3,3,2,2,4,2,2.4,Free,Good,Good,not_applicable,3,1,3/16/2016,9:15 am/10:06 am,Bailee,Arjan Van Dasselaar,1280,"22,000 lbs",2 times,Normal,N,no,N,no,alfalfa; canola; distillers corn; soy hull pallets; corn silage,Y,N,Prep & wash lactic acid; Ultimate P.D. concentration; Cynergy hepatonic acid; Dip application,Prep & wash lactic acid\Ultimate P.D. concentration\Cynergy hepatonic acid,dip,Aztec Gold lactic acid; Sodium Chlorite; Dip application,Aztec Gold lactic acid\Sodium Chlorite,dip,Y,Y,N,Freestall; Dry lot (exercise yard),Sand,2 times/day or more often,Well water,3,1,0-24h,>72h,Y; Manually,N,N,N,N,N,N,"100,000 lbs; 2 bulk trucks",Laundered; no answer,Laundered,Every 3 hours; Halfway through milking,NA
8,10,1,SP MSC,15,20,17.5,1-Oct,10,1,2.516611478,3.862210075,4.654746681,5.802298395,NA,0,49.5,12.25,36.5,94.5,NA,0,FALSE,10,Farm 10,3/18/2016,10:00am,2,2,1,3,2,2,3,3,1,2,2.1,non-Free,not_applicable,not_applicable,No,3,1,3/18/2016,10:00 am/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,Y,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Remain Gold Bronopol; Dip application,Remain Gold Bronopol,dip,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
9,11,1,SP MSC,12,8,10,1-Nov,11,1,2.516611478,3.862210075,4.654746681,5.802298395,NA,0,49.5,12.25,36.5,94.5,NA,0,FALSE,11,Farm 11,3/18/2016,11:45am,4,2,2,4,2,3,2,1,2,2,2.4,non-Free,not_applicable,not_applicable,No,3,1,3/18/2016,11:45/no answer,Bailee,Tom Ferria,1800,60 lbs/day,intermediate,Normal,N,no,Y; Flamed,yes,corn silage; cotton seed; corn; soy bean mill; corn gluten; alfalfa,Y,N,Chlorine dioxide; Spray application,Chlorine dioxide,spray,Iodine; Other: Foam application,Iodine,foam,Y; Separately,Y,Y,Dry Lot (open),N/A,N/A,Well water,7,6,0-24h,No answer,Y; Manually,Y,Y,N,N,N,N,"12,000 gallons; 2 bulk tanks",Paper; No,Paper,"Every pen, 45 minutes",NA
10,12,1,SP MSC,25,34,29.5,1-Dec,12,1,2.29676883,5.712280373,3.362859428,4.106128848,2.875627022,0,48.35294118,7.647058824,29.94117647,82.88235294,56.46153846,0,FALSE,12,Farm 12,3/19/2016,6:15pm,1,1,2,2,2,1,1,2,2,1,1.5,Free,Good,Good,not_applicable,3,1,3/19/2016,6:15/no answer,Bailee,Misael Tiscareno,3600,73 lbs/day,2 times,Normal,I,intermediate,Y; Flamed,yes,corn silage; corn; alfalfa; cotton seed; protein mix; wheat silage,Y,Y,Chlorine dioxide; Dip application,Chlorine dioxide,dip,Iodine; Dip application,Iodine,dip,Y,Y,No answer,Freestall (some open lots),Sand (fresh and recycled); Dried; Never discarded,2 times/day or more often; flushed 6 times/day,Well water,N/A,N/A,0-24h,N/A,Y; Manually and automatically,Y,Y,N,N,N,N,"18,000 gallons; 3 bulk tanks",Laundered; No,Laundered,"Every 800 cows, 2.5 hours",NA
