,x
,32
Bacillus.cereus_ss.277,3
Bacillus.cereus_ss.296,2
Bacillus.cereus_ss.366,2
Bacillus.cereus_ss.768,1
Bacillus.licheniformis.1,10
Bacillus.licheniformis.6,1
Bacillus.mosaicus.410,2
Bacillus.mosaicus.61,2
Bacillus.mosaicus.789,2
Bacillus.paralicheniformis.215,2
Bacillus.safensis.140,2
Bacillus.safensis.141,1
Bacillus.safensis.1927,1
Bacillus.safensis.254,1
Bacillus.toyonensis.129,1
Bacillus.toyonensis.775,2
Brevibacillus.borstelensis.519,1
Lysinibacillus.sp.1.299,4
Lysinibacillus.sp.1.303,2
Paenibacillus.amylolyticus_sl.111,1
Paenibacillus.etheri.786,1
Paenibacillus.humicus.1929,1
Paenibacillus.lautus.791,1
Paenibacillus.odorifer.11,1
Paenibacillus.odorifer.15,9
Paenibacillus.odorifer.21,3
Paenibacillus.odorifer.27,2
Paenibacillus.odorifer.32,2
Paenibacillus.odorifer.36,1
Paenibacillus.odorifer.50,2
Paenibacillus.odorifer.7,2
Paenibacillus.odorifer.74,1
Paenibacillus.peoriae_cf.239,7
Paenibacillus.peoriae_cf.67,3
Paenibacillus.peoriae_cf.750,5
Paenibacillus.peoriae_cf.776,2
Paenibacillus.peoriae_cf.777,1
Paenibacillus.peoriae_cf.779,1
Paenibacillus.peoriae_cf.790,1
Paenibacillus.peoriae_cf.792,1
Paenibacillus.sp.1.42,1
Paenibacillus.sp.1.77,1
Paenibacillus.sp.1.778,2
